FEDRate_diff,BIRate,Inflation_diff,Kurs_diff
0.13,12.75,-0.08,-362.5
0.2,12.75,0.89,-238.6
0.1,12.75,-2.18,-81.3
0.2,12.75,-0.34,-233.5
0.15,12.5,0.2,47.7
0.05,12.5,-0.07,375.9
0.25,12.25,-0.38,-235.8
0.01,11.75,-0.25,-31.1
0.01,11.25,-0.35,48.7
-0.01,10.75,-8.26,43.6
0,10.25,-1.02,-52.6
-0.01,9.75,1.33,-47.1
0.01,9.5,-0.34,-20.3
0.01,9.25,0.04,1.6
0,9,0.22,95.2
-0.01,9,-0.23,-65.8
0,8.75,-0.28,-252
0,8.5,-0.24,138.6
0.01,8.25,0.29,83.1
-0.24,8.25,0.45,297.9
-0.08,8.25,0.44,-56.5
-0.18,8.25,-0.07,-201.9
-0.27,8.25,-0.17,156.5
-0.24,8,-0.12,69
-0.31,8,0.77,72.5
-0.96,8,0.04,-224
-0.37,8,0.77,3.7
-0.33,8,0.79,23.5
-0.3,8.25,1.42,81.7
0.02,8.5,0.65,4.8
0.01,8.75,0.87,-131.6
-0.01,9,-0.05,-14.1
-0.19,9.25,0.29,190.5
-0.84,9.5,-0.37,704.2
-0.58,9.5,-0.09,1654.4
-0.23,9.25,-0.62,-384.3
-0.01,8.75,-1.89,-156.9
0.07,8.25,-0.57,682.1
-0.04,7.75,-0.68,-3.1
-0.03,7.5,-0.61,-820.3
0.03,7.25,-1.27,-629.3
0.03,7,-2.39,-185
-0.05,6.75,-0.94,-94.9
0,6.5,0.04,-133.1
-0.01,6.5,0.08,-76.6
-0.03,6.5,-0.26,-415.6
0,6.5,-0.16,-12.8
0,6.5,0.37,-12
-0.01,6.5,0.94,-181.7
0.02,6.5,0.09,72.3
0.04,6.5,-0.38,-173.5
0.03,6.5,0.48,-145.5
0,6.5,0.25,155
-0.02,6.5,0.89,-34.6
0,6.5,1.17,-98.2
0.01,6.5,0.22,-77.7
0.01,6.5,-0.64,4
-0.01,6.5,-0.13,-47.9
0,6.5,0.66,10.6
-0.01,6.5,0.63,84.1
-0.01,6.5,0.06,14.8
-0.01,6.5,-0.18,-124.4
-0.02,6.75,-0.19,-150.5
-0.04,6.75,-0.49,-109.2
-0.01,6.75,-0.18,-95.5
0,6.75,-0.44,8.2
-0.02,6.75,-0.93,-30.7
0.03,6.75,0.18,-1.1
-0.02,6.75,-0.18,232.4
-0.01,6.5,-0.19,129.2
0.01,6,-0.27,119.3
-0.01,6,-0.36,73.1
0.01,6,-0.14,20.3
0.02,5.75,-0.09,-82.8
0.03,5.75,0.41,138.7
0.01,5.75,0.53,10.1
0.02,5.75,-0.05,114.4
0,5.75,0.08,160.2
0,5.75,0.03,5.5
-0.03,5.75,0.02,42.9
0.01,5.75,-0.27,66
0.02,5.75,0.3,30.6
0,5.75,-0.29,30.9
0.01,5.75,-0.02,17.8
-0.03,5.75,0.27,41.3
0.01,5.75,0.74,-0.8
-0.01,5.75,0.59,22.4
0.01,5.75,-0.33,14.4
-0.04,5.75,-0.1,36.8
-0.02,6,0.43,120.2
0,6.5,2.71,191
-0.01,7,0.18,496.6
0,7.25,-0.39,769.8
0.01,7.25,-0.08,20.5
-0.01,7.5,0.05,245
0.01,7.5,0.01,471.7
-0.02,7.5,-0.16,92.1
0,7.5,-0.47,-243.3
0.01,7.5,-0.43,-505.5
0.01,7.5,-0.07,8.6
0,7.5,0.07,89.6
0.01,7.5,-0.62,364.9
-0.01,7.5,-2.17,-202.5
0,7.5,-0.54,17.5
0,7.5,0.54,183.1
0,7.5,0.3,253
0,7.75,1.4,13.2
0.03,7.75,2.13,278.7
0,7.75,-1.4,140.1
-0.01,7.5,-0.67,170
0,7.5,0.09,315.3
0.02,7.5,0.41,-118.6
-0.01,7.5,0.36,191.9
0.01,7.5,0.11,171.7
0,7.5,0,61.3
0.01,7.5,-0.08,405
0,7.5,-0.35,611.4
-0.02,7.5,-0.58,-597.2
0,7.5,-1.36,-122.8
0.12,7.5,-1.54,181.3
0.1,7.25,0.79,34.3
0.04,7,0.28,-371.6
-0.02,6.75,0.03,-321.1
0.01,5.5,-0.85,-13.2
0,5.5,-0.27,238.7
0.01,5.25,0.12,-64.2
0.01,5.25,-0.24,-235.3
0.01,5.25,-0.42,46
0,5,0.28,-46.4
0,4.75,0.24,-100.5
0.01,4.75,0.27,291.8
0.13,4.75,-0.56,106.6
0.11,4.75,0.47,-58.8
0.01,4.75,0.34,-18
0.13,4.75,-0.22,4.7
0.11,4.75,0.56,-38.6
0.01,4.75,0.16,16.7
0.13,4.75,0.04,-24.7
0.11,4.75,-0.49,43.2
0.01,4.5,-0.06,-0.3
-0.01,4.25,-0.1,-37.9
0,4.25,-0.14,221.4
0.01,4.25,-0.28,1.1
0.14,4.25,0.31,28.8
0.12,4.25,-0.36,-174.8
0,4.25,-0.07,208.8
0.09,4.25,0.22,167.1
0.18,4.25,0.01,44.6
0.01,4.5,-0.18,255.5
0.1,5.25,-0.11,-23.5
0.11,5.25,0.06,376.5
0.01,5.5,0.02,144.7
0.03,5.75,-0.32,307.4
0.24,5.75,0.28,308.5
0.01,6,0.07,-479.7
0.07,6,-0.1,-198.9
0.13,6,-0.31,-332
0,6,-0.25,-127.3
0,6,-0.09,174.8
0.02,6,0.35,-68.1
-0.03,6,0.49,249.1
-0.01,6,-0.04,-165.6
0.02,5.75,0.04,-181.7
-0.27,5.25,0.17,197.4
-0.08,5,-0.1,-130.4
-0.22,5,-0.26,6.3
-0.28,5,-0.13,-48.5
0,5,-0.28,-51
0,5,-0.04,-283.8
0.03,4.75,0.3,43.7
-0.95,4.5,-0.02,1411.3
-0.58,4.5,-0.29,669.5
0,4.5,-0.48,-956.4
0.03,4.25,-0.23,-706.7
0.01,4,-0.42,384.5
0.01,4,-0.22,141.4
-0.01,4,0.1,122.8
0,4,0.02,-98.3
0,3.75,0.15,-509.8
0,3.75,0.09,-63.4
0,3.75,-0.13,-110.6
-0.01,3.5,-0.17,-19.7
-0.01,3.5,-0.01,373.4
0,3.5,0.05,140.1
-0.01,3.5,0.26,-233.8
0.02,3.5,-0.35,14.9
0.02,3.5,0.19,172.1
-0.01,3.5,0.07,-112.9
-0.01,3.5,0.01,-140
0,3.5,0.06,-58.2
0,3.5,0.09,64.7
0,3.5,0.12,65.1
0,3.5,0.31,6.3
0,3.5,-0.12,15.7
0.12,3.5,0.58,-2.4
0.13,3.5,0.83,20
0.43,3.5,0.08,238.1
0.43,3.5,0.8,80.1
0.46,3.5,0.59,294.4
0.68,3.75,-0.25,-133.1
0.25,4.25,1.26,120.5
0.5,4.45,-0.24,443.5
0.68,5.25,-0.29,240
0.33,5.5,0.09,-43.5
0.24,5.75,-0.23,-318.1
0.24,5.75,0.19,-168.4
0.08,5.75,-0.5,173.8
0.18,5.75,-0.64,-431.8
0.22,5.75,-0.33,-55.6
0.03,5.75,-0.48,120.5
0.04,5.75,-0.44,107.3
0.21,5.75,0.19,204.3
0,5.75,-0.99,108.5
0,6,0.28,385.1
0,6,0.3,-123.2
0,6,-0.25,-103.5
0,6,-0.04,97
0,6,0.18,54.2
0,6,0.3,37.1
0,6.25,-0.05,395.4
0,6.25,-0.16,-16
0,6.25,-0.33,244.2
0,6.25,-0.38,-67.4
0,6.25,-0.01,-466.1
-0.2,6,-0.28,-449.7
-0.3,6,-0.13,199.1
-0.18,6,-0.16,269.7
-0.16,6,0.02,210.1
-0.16,5.75,-0.81,237.3
0,5.75,-0.85,75.5
0,5.75,1.12,117.7